SpO2,rrvalues
82.2472,0.697
82.2446,0.703
82.246,0.696
82.2468,0.692
82.2447,0.691
82.2461,0.692
82.2459,0.676
82.2439,0.68
82.2466,0.653
82.2459,0.674
82.2452,0.647
82.2466,0.668
82.2463,0.68
82.2444,0.661
82.2466,0.677
82.2467,0.67
82.2458,0.647
82.2459,0.661
82.2465,0.666
82.2457,0.642
82.2463,0.641
82.2474,0.64
82.2451,0.656
82.2467,0.665
82.2462,0.697
82.2441,0.702
82.247,0.715
82.2471,0.688
82.2454,0.697
82.2468,0.707
82.2474,0.676
82.2352,0.687
81.2466,0.679
81.242,0.668
81.2435,0.661
81.2409,0.656
81.2428,0.658
81.2416,0.659
81.2407,0.669
81.2431,0.66
81.242,0.667
81.2406,0.669
81.2427,0.649
81.2418,0.68
81.2406,0.634
81.2423,0.608
81.2409,0.622
81.2433,0.61
81.2427,0.65
81.2408,0.653
81.2419,0.667
81.2432,0.658
81.2419,0.662
81.8524,0.652
82.2465,0.636
82.2451,0.647
82.2463,0.645
82.2464,0.653
82.2449,0.645
82.2475,0.654
82.2449,0.671
82.2459,0.687
82.2469,0.656
82.2449,0.655
82.247,0.651
82.2466,0.633
82.2447,0.633
82.2472,0.647
82.2453,0.664
82.2448,0.695
82.2457,0.699
82.2461,0.701
82.2465,0.712
82.2449,0.704
82.2464,0.7
82.2459,0.694
82.2452,0.663
82.2465,0.667
82.2469,0.665
82.2446,0.653
82.8354,0.657
83.2507,0.663
83.25,0.664
83.2508,0.672
83.2519,0.701
83.2497,0.731
83.2508,0.722
83.2504,0.729
83.2524,0.701
83.2497,0.703
83.2507,0.695
83.154,0.7
82.2451,0.701
82.2462,0.698
82.2464,0.703
82.2444,0.705
82.2462,0.683
82.2466,0.713
82.2466,0.719
82.2449,0.744
82.2463,0.735
82.2458,0.734
82.245,0.726
82.2465,0.697
82.2468,0.711
82.2454,0.714
82.2445,0.746
82.2461,0.739
82.246,0.722
82.2464,0.754
82.2451,0.733
82.2464,0.754
82.2458,0.751
82.2467,0.748
82.2449,0.75
82.2464,0.723
82.2467,0.721
82.2454,0.714
82.2465,0.74
82.247,0.756
82.2462,0.771
82.2458,0.792
82.2447,0.788
82.2466,0.773
82.6276,0.76
83.2502,0.753
83.2508,0.738
83.2515,0.7
83.2509,0.708
83.2497,0.706
84.1118,0.744
84.2548,0.755
84.2556,0.793
84.2673,0.821
85.254,0.795
85.2594,0.788
85.7254,0.767
86.2624,0.757
86.2612,0.703
86.9908,0.666
87.2665,0.634
87.2659,0.608
87.2674,0.63
87.2667,0.647
87.2662,0.66
87.7754,0.682
88.3353,0.699
89.2733,0.719
89.2744,0.756
89.2744,0.771
89.2747,0.768
89.2737,0.737
89.2745,0.732
89.275,0.729
89.2749,0.736
89.2736,0.752
89.2744,0.775
89.2745,0.774
89.3611,0.773
90.2774,0.769
90.2784,0.762
90.2782,0.753
90.2788,0.752
90.2772,0.748
90.2796,0.744
90.7263,0.73
91.2824,0.748
91.2813,0.756
91.2827,0.785
91.2818,0.816
91.283,0.825
91.282,0.809
91.2815,0.788
91.2825,0.761
91.2824,0.759
91.2826,0.771
91.2816,0.796
91.2818,0.828
91.2829,0.833
91.283,0.828
91.2829,0.801
91.2826,0.791
91.2816,0.805
91.2816,0.789
91.2822,0.775
91.2831,0.76
91.281,0.745
91.2826,0.752
91.2823,0.753
91.2828,0.757
91.2815,0.766
92.192,0.797
92.2874,0.804
92.287,0.791
92.2867,0.783
92.2863,0.778
92.2873,0.741
92.2875,0.728
92.2868,0.73
92.2858,0.742
92.2874,0.773
92.7734,0.79
93.2914,0.791
93.2908,0.79
93.2906,0.811
93.2913,0.808
93.2908,0.799
93.2921,0.797
93.2907,0.779
93.2905,0.771
93.2911,0.779
93.2913,0.793
93.2911,0.781
93.2904,0.793
92.4464,0.783
92.2881,0.771
92.2869,0.764
92.2863,0.739
92.2885,0.749
92.2873,0.769
92.287,0.787
92.2883,0.761
92.2864,0.745
92.2881,0.774
92.2869,0.776
92.288,0.75
92.2859,0.695
92.2876,0.661
92.2869,0.676
92.2865,0.682
92.2878,0.708
92.2866,0.764
92.2869,0.798
92.2865,0.819
92.2873,0.798
92.2869,0.78
92.2877,0.781
92.2867,0.771
92.2862,0.767
92.2876,0.752
92.2875,0.734
92.2876,0.738
92.2861,0.768
92.2879,0.796
92.287,0.806
92.287,0.795
92.2861,0.778
92.2876,0.755
92.2876,0.747
92.2874,0.73
92.2867,0.716
92.2876,0.724
92.7171,0.722
93.2913,0.744
93.2906,0.766
93.2912,0.808
93.2915,0.788
93.2917,0.788
93.2917,0.776
93.2905,0.762
93.2914,0.705
93.2924,0.712
93.2908,0.662
93.2927,0.673
93.2914,0.679
93.2898,0.7
93.2917,0.712
93.2911,0.716
93.2923,0.709
93.291,0.706
93.2925,0.688
93.8389,0.699
96.9978,0.752
96.9997,0.741
96.9998,0.722
96.9984,1.388
96.9998,0.628
96.9999,0.638
96.999,0.61
97.0007,1.409
96.9986,0.723
96.9998,0.732
97.0005,0.728
96.9992,0.727
97.0006,0.744
96.9997,0.733
96.9995,0.736
96.9989,0.786
96.9995,0.646
96.9995,0.68
96.9989,0.694
97.0001,0.71
96.158,0.728
95.2989,0.774
95.2985,0.791
95.2994,0.792
95.2991,0.772
95.2996,0.777
95.363,0.783
96.3018,0.784
96.3026,0.776
96.3035,0.763
96.1646,0.728
95.2987,0.717
95.2994,0.738
95.3003,0.757
95.2995,0.764
95.2986,0.795
95.2998,0.794
95.2997,0.791
95.2992,0.8
95.2997,0.782
95.2976,0.75
95.2994,0.74
95.2994,0.744
95.2987,0.752
95.298,0.766
96.0333,0.773
96.303,0.752
96.3042,0.755
96.3022,0.754
96.3034,0.802
96.3028,0.828
96.6724,0.86
97.3057,0.845
97.3056,0.808
96.3401,0.795
96.3036,0.795
96.3031,0.797
