"ecg","Rrvalues"
"-1.3606","0.756"
"-1.3421","0.76"
"-1.3526","0.783"
"-1.359","0.78"
"-1.3521","0.769"
"-1.3504","0.76"
"-1.3598","0.735"
"-1.3554","0.724"
"-1.3519","0.711"
"-1.3565","0.729"
"-1.3461","0.766"
"-1.3607","0.763"
"-1.3622","0.765"
"-1.3426","0.775"
"-1.346","0.78"
"-1.3586","0.79"
"-1.3806","0.777"
"-1.3632","0.766"
"-1.3607","0.741"
"-1.3469","0.723"
"-1.3522","0.703"
"-1.359","0.686"
"-1.3467","0.716"
"-1.3781","0.752"
"-1.3927","0.759"
"-1.354","0.76"
"-1.3522","0.761"
"-1.351","0.756"
"-1.3706","0.754"
"-1.3649","0.758"
"-1.3566","0.741"
"-1.3596","0.723"
"-1.3528","0.677"
"-1.3657","0.645"
"-1.3526","0.641"
"-1.3631","0.67"
"-1.3705","0.693"
"-1.3412","0.746"
"-1.3481","0.781"
"-1.3586","0.817"
"-1.3519","0.832"
"-1.3784","0.805"
"-1.3873","0.758"
"-1.3777","0.734"
"-1.3779","0.741"
"-1.3795","0.715"
"-1.3317","0.72"
"-1.3178","0.741"
"-1.347","0.747"
"-1.367","0.744"
"-1.3666","0.758"
"-1.3585","0.785"
"-1.3419","0.789"
"-1.3368","0.758"
"-1.6752","0.751"
"-2.182","0.708"
"-1.7543","0.717"
"-1.5325","0.712"
"-1.4391","0.721"
"-1.4099","0.719"
"-1.391","0.712"
"-1.3858","0.696"
"-1.3819","0.701"
"-1.3779","0.718"
"-1.3802","0.739"
"-1.3715","0.765"
"-1.3811","0.735"
"-1.3739","0.75"
"-1.379","0.738"
"-1.3785","0.744"
"-1.3822","0.746"
"-1.3821","0.751"
"-1.386","0.742"
"-1.3757","0.732"
"-1.3652","0.743"
"-1.365","0.76"
"-1.3472","0.753"
"-1.3563","0.756"
"-1.367","0.742"
"-1.3684","0.741"
"-1.3646","0.756"
"-1.3714","0.787"
"-1.3815","0.81"
"-1.4046","0.813"
"-1.3763","0.786"
"-1.3735","0.765"
"-1.3744","0.758"
"-1.3781","0.708"
"-1.3738","0.673"
"-1.366","0.647"
"-1.382","0.67"
"-1.3965","0.707"
"-1.4127","0.733"
"-1.3842","0.76"
"-1.37","0.783"
"-1.3636","0.789"
"-1.3736","0.811"
"-1.3835","0.788"
"-1.372","0.771"
"-1.3716","0.728"
"-1.3694","0.723"
"-1.3651","0.689"
"-1.3574","0.714"
"-1.361","0.709"
"-1.3575","0.721"
"-1.3558","0.728"
"-1.3551","0.759"
"-1.3635","0.791"
"-1.3674","0.785"
"-1.3514","0.768"
"-1.3427","0.736"
"-1.3658","0.7"
"-1.3663","0.721"
"-1.3561","0.711"
