respiratoryrate,rrvalues
10.111,0.623
14.4913,0.635
14.6191,0.658
14.6191,0.689
14.6191,0.702
14.6191,0.712
14.6191,0.707
15.2125,0.685
15.2294,0.694
15.2294,0.675
15.2294,0.659
15.2294,0.659
15.147,0.666
14.5348,0.663
14.5348,0.678
14.5348,0.682
14.5348,0.681
14.5348,0.658
14.5348,0.657
14.3885,0.642
14.3813,0.634
14.3813,0.642
14.3813,0.638
14.3813,0.644
14.3813,0.643
14.4039,0.631
14.4339,0.631
14.4339,0.651
14.4339,0.66
14.4339,0.683
14.4339,0.667
13.942,0.667
10.0005,0.645
10.0005,0.641
10.0005,0.65
10.0005,0.625
10.0005,0.616
10.0005,0.592
10.0005,0.583
10.0005,0.604
10.0005,0.612
12.622,0.63
16.0725,0.648
16.0725,0.69
16.0725,0.7
16.0725,0.705
16.0725,0.69
14.3172,0.668
14.2404,0.644
14.2404,0.639
14.2404,0.638
14.2404,0.646
14.2404,0.656
13.8997,0.645
13.4955,0.648
13.4955,0.686
13.4955,0.697
13.4955,0.703
13.4955,0.696
13.4955,0.692
14.7499,0.691
14.8048,0.692
14.8048,0.676
14.8048,0.68
14.8048,0.653
14.8048,0.674
15.3719,0.647
15.3863,0.668
15.3863,0.68
15.3863,0.661
15.3863,0.677
15.3311,0.67
14.9661,0.647
14.9661,0.661
14.9661,0.666
14.9661,0.642
14.9661,0.641
14.9661,0.64
13.5087,0.656
13.4534,0.665
13.4534,0.697
13.4534,0.702
13.4534,0.715
13.4534,0.688
13.9987,0.697
14.5846,0.707
14.5846,0.676
14.5846,0.687
14.5846,0.679
14.5846,0.668
14.4637,0.661
14.3183,0.656
14.3183,0.658
14.3183,0.659
14.3183,0.669
14.3183,0.66
14.4172,0.667
15.1642,0.669
15.1642,0.649
15.1642,0.68
15.1642,0.634
15.1642,0.608
15.1642,0.622
15.334,0.61
15.3385,0.65
15.3385,0.653
15.3385,0.667
15.3385,0.658
15.3385,0.662
15.4759,0.652
15.4821,0.636
15.4821,0.647
15.4821,0.645
15.4821,0.653
15.4821,0.645
13.998,0.654
13.939,0.671
13.939,0.687
13.939,0.656
13.939,0.655
13.939,0.651
14.4547,0.633
15.1175,0.633
15.1175,0.647
15.1175,0.664
15.1175,0.695
15.1175,0.699
15.577,0.701
16.0458,0.712
16.0458,0.704
16.0458,0.7
16.0458,0.694
15.934,0.663
15.1312,0.667
15.1312,0.665
15.1312,0.653
15.1312,0.657
15.1312,0.663
14.9531,0.664
13.74,0.672
13.74,0.701
13.74,0.731
13.74,0.722
13.74,0.729
13.74,0.701
11.0555,0.703
10.9524,0.695
10.9524,0.7
10.9524,0.701
10.9524,0.698
10.9524,0.703
10.9524,0.705
11.2558,0.683
13.4191,0.713
13.4191,0.719
13.4191,0.744
13.4191,0.735
13.4191,0.734
13.4191,0.726
11.9144,0.697
11.8768,0.711
11.8768,0.714
11.8768,0.746
11.8768,0.739
11.8768,0.722
11.8699,0.754
11.505,0.733
11.505,0.754
11.505,0.751
11.505,0.748
11.505,0.75
11.505,0.723
11.505,0.721
10.571,0.714
10.5427,0.74
10.5427,0.756
10.5427,0.771
10.5427,0.792
10.5427,0.788
10.5427,0.773
10.7464,0.76
10.9479,0.753
10.9479,0.738
10.9479,0.7
10.9479,0.708
10.9479,0.706
10.9479,0.744
10.9615,0.755
12.6515,0.793
12.6515,0.821
12.6515,0.795
12.6515,0.788
12.6515,0.767
12.6515,0.757
10.7995,0.703
10.7564,0.666
10.7564,0.634
10.7564,0.608
10.7564,0.63
10.7564,0.647
10.7564,0.66
10.7564,0.682
12.0464,0.699
13.4481,0.719
13.4481,0.756
13.4481,0.771
13.4481,0.768
13.4481,0.737
12.4401,0.732
11.3756,0.729
11.3756,0.736
11.3756,0.752
11.3756,0.775
11.3756,0.774
11.3756,0.773
10.9891,0.769
10.6136,0.762
10.6136,0.753
10.6136,0.752
10.6136,0.748
10.6136,0.744
10.6136,0.73
10.6136,0.748
11.6458,0.756
11.6826,0.785
11.6826,0.816
11.6826,0.825
11.6826,0.809
11.6826,0.788
11.2315,0.761
10.7744,0.759
10.7744,0.771
10.7744,0.796
10.7744,0.828
10.7744,0.833
10.7744,0.828
9.6202,0.801
8.599,0.791
8.599,0.805
8.599,0.789
8.599,0.775
8.599,0.76
8.599,0.745
8.599,0.752
8.599,0.753
9.7756,0.757
10.9742,0.766
10.9742,0.797
10.9742,0.804
10.9742,0.791
10.9742,0.783
10.9742,0.778
11.544,0.741
12.1247,0.728
12.1247,0.73
12.1247,0.742
12.1247,0.773
12.1247,0.79
12.1247,0.791
11.6968,0.79
11.6817,0.811
11.6817,0.808
11.6817,0.799
11.6817,0.797
11.6817,0.779
11.3166,0.771
10.9636,0.779
10.9636,0.793
10.9636,0.781
10.9636,0.793
10.9636,0.783
10.9636,0.771
12.6016,0.764
14.231,0.739
14.231,0.749
14.231,0.769
14.231,0.787
14.231,0.761
10.5631,0.745
10.4199,0.774
10.4199,0.776
10.4199,0.75
10.4199,0.695
10.4199,0.661
10.4199,0.676
10.4199,0.682
14.0252,0.708
14.1737,0.764
14.1737,0.798
14.1737,0.819
14.1737,0.798
14.1596,0.78
14.1466,0.781
14.1466,0.771
14.1466,0.767
14.1466,0.752
14.1466,0.734
13.4288,0.738
13.3984,0.768
13.3984,0.796
13.3984,0.806
13.3984,0.795
13.8667,0.778
15.5044,0.755
15.5044,0.747
15.5044,0.73
15.5044,0.716
15.5044,0.724
16.5119,0.722
16.548,0.744
16.548,0.766
16.548,0.808
15.8243,0.788
13.3261,0.788
13.3261,0.776
13.3261,0.762
13.3261,0.705
13.3261,0.712
13.2046,0.662
12.3202,0.673
12.3202,0.679
12.3202,0.7
12.3202,0.712
12.3202,0.716
12.3202,0.709
11.3629,0.706
5.8831,0.688
5.8831,0.699
5.8831,0.752
5.8831,0.741
5.8831,0.722
5.8831,1.388
5.8831,0.628
5.8831,0.638
5.8831,0.61
5.8831,1.409
5.8831,0.723
5.8831,0.732
8.4533,0.728
11.0234,0.727
11.0234,0.744
11.0234,0.733
11.0234,0.736
11.0234,0.786
11.0234,0.646
11.0234,0.68
12.3626,0.694
12.4168,0.71
12.4168,0.728
12.4168,0.774
12.4168,0.791
12.4168,0.792
11.8315,0.772
11.2927,0.777
11.2927,0.783
11.2927,0.784
11.2927,0.776
11.2927,0.763
11.2927,0.728
34.4531,0.717
51.1153,0.738
44.6822,0.757
37.6988,0.764
10.693,0.795
10.693,0.794
10.693,0.791
10.693,0.8
10.693,0.782
10.693,0.75
10.693,0.74
12.2109,0.744
12.2212,0.752
12.2212,0.766
12.2212,0.773
12.2212,0.752
12.2212,0.755
12.7484,0.754
13.2645,0.802
13.2645,0.828
13.2645,0.86
13.2645,0.845
13.2627,0.808
11.8508,0.795
11.8508,0.795
11.8508,0.797
11.8508,0.784
11.8508,0.754
11.8508,0.762
10.2129,0.756
8.6008,0.781
8.6008,0.767
8.6008,0.735
8.6008,0.699
8.6008,0.662
8.6008,0.687
8.6008,0.722
8.6008,0.762
8.6008,0.776
10.7034,0.789
10.7141,0.813
10.7141,0.817
10.7141,0.813
10.7141,0.812
10.7141,0.782
10.7141,0.768
11.8996,0.757
11.9155,0.79
11.9155,0.865
11.9155,0.867
11.9155,0.869
11.9155,0.865
11.5458,0.848
11.5314,0.856
11.5314,0.83
11.5314,0.808
11.5314,0.764
11.5314,0.748
12.5735,0.727
13.7274,0.725
13.7274,0.735
13.7274,0.809
13.7274,0.868
13.7274,0.873
13.2721,0.854
13.2634,0.865
13.2634,0.843
13.2634,0.817
13.2634,0.782
12.9819,0.76
12.7034,0.761
12.7034,0.778
12.7034,0.792
12.7034,0.803
12.7034,0.827
12.3194,0.831
11.9958,0.846
11.9958,0.867
11.9958,0.83
11.9958,0.809
11.9958,0.792
12.3774,0.786
12.7872,0.779
12.7872,0.785
12.7872,0.786
12.7872,0.794
12.7872,0.795
13.2304,0.796
13.6232,0.798
13.6232,0.821
13.6232,0.82
13.6232,0.821
13.7166,0.8
14.5932,0.815
14.5932,0.831
14.5932,0.83
14.5932,0.817
14.579,0.824
14.4528,0.821
14.4528,0.826
14.4528,0.809
14.4528,0.8
14.4528,0.782
12.9175,0.787
12.8545,0.814
12.8545,0.838
12.8545,0.851
12.8545,0.806
12.7478,0.813
12.4434,0.806
12.4434,0.825
12.4434,0.807
12.4434,0.799
12.4434,0.778
11.8027,0.77
9.6084,0.766
9.6084,0.775
9.6084,0.78
9.6084,0.75
9.6084,0.747
9.6084,0.783
9.6084,0.764
10.079,0.787
14.1809,0.792
14.1809,0.795
14.1809,0.787
14.1809,0.781
14.1809,0.758
14.0043,0.747
13.9222,0.761
13.9222,0.778
