heartrate,rrvalues
77.4176,0.775
77.5858,0.773
78.6937,0.763
81.1688,0.739
83.0869,0.722
81.7392,0.734
79.398,0.756
78.3695,0.765
78.6035,0.764
79.1599,0.758
79.7412,0.752
77.7784,0.772
76.724,0.782
76.6632,0.782
77.4018,0.775
78.197,0.768
81.3624,0.737
82.4952,0.727
82.3905,0.729
81.5075,0.736
82.2812,0.729
78.9374,0.76
77.3689,0.776
78.7805,0.761
78.3056,0.767
80.7416,0.743
81.87,0.732
80.6867,0.744
79.8284,0.752
80.688,0.743
82.5183,0.727
80.3201,0.747
82.4883,0.728
81.1309,0.739
79.851,0.752
83.3035,0.72
81.8027,0.733
81.9267,0.733
81.2299,0.739
80.5022,0.745
79.5615,0.754
77.9675,0.77
75.9411,0.79
77.2516,0.776
77.891,0.771
76.8648,0.78
76.6953,0.782
77.6606,0.773
77.8511,0.771
78.8313,0.761
79.934,0.751
78.5338,0.764
78.1937,0.767
77.4455,0.775
77.2652,0.776
76.8944,0.78
75.3813,0.796
73.3316,0.819
70.6667,0.849
70.7448,0.848
72.5085,0.827
70.5666,0.851
71.7417,0.836
73.0326,0.821
74.151,0.81
73.6436,0.814
71.847,0.835
70.4548,0.852
69.9674,0.858
69.9647,0.857
70.9751,0.845
73.749,0.814
81.1335,0.74
87.8952,0.682
93.1586,0.644
82.332,0.729
74.1576,0.809
72.3201,0.83
69.755,0.86
65.7041,0.913
66.625,0.901
69.1541,0.867
73.8537,0.813
76.8663,0.78
75.7861,0.792
77.5935,0.773
77.8048,0.771
78.0071,0.77
81.4685,0.736
81.5244,0.736
80.5277,0.745
79.777,0.752
78.8017,0.762
76.3521,0.785
77.1901,0.778
77.4551,0.774
80.648,0.744
80.3789,0.747
79.8451,0.751
80.1507,0.749
80.3526,0.747
81.573,0.735
82.0846,0.731
82.3395,0.729
82.2578,0.729
83.0241,0.723
81.7333,0.734
85.2139,0.704
83.808,0.716
85.6155,0.701
86.712,0.692
85.0371,0.705
85.3264,0.704
84.1695,0.712
84.9483,0.707
86.0312,0.697
87.5728,0.685
85.3505,0.703
84.0666,0.714
85.5616,0.701
85.7651,0.7
86.8397,0.691
88.3929,0.678
88.3447,0.68
87.886,0.682
86.307,0.696
83.6275,0.717
83.2867,0.72
84.8559,0.707
82.3198,0.729
82.8756,0.724
83.0031,0.723
82.8158,0.725
84.9467,0.706
83.6732,0.717
85.2562,0.704
82.1694,0.73
82.5817,0.727
82.0763,0.731
81.9417,0.732
83.6238,0.717
82.3433,0.729
84.3125,0.712
82.6736,0.725
83.1194,0.722
83.7919,0.716
85.3845,0.703
80.1802,0.748
78.184,0.768
79.9564,0.75
85.4748,0.702
90.3718,0.664
91.9752,0.652
90.2611,0.665
89.0383,0.674
88.4202,0.679
86.882,0.69
85.3161,0.703
82.2223,0.73
79.7165,0.753
85.2561,0.704
85.2641,0.703
86.3836,0.695
86.2204,0.696
85.5335,0.701
83.225,0.721
82.5149,0.727
81.3816,0.738
80.0332,0.749
78.0537,0.769
78.2934,0.766
79.5898,0.754
79.6812,0.753
81.2147,0.739
83.493,0.719
84.0954,0.713
83.4417,0.719
80.814,0.743
80.5847,0.744
79.8787,0.751
76.4494,0.785
76.9437,0.78
78.5012,0.764
79.1594,0.758
81.1292,0.74
82.118,0.73
83.4326,0.72
82.0073,0.731
82.6284,0.726
81.2861,0.738
80.5752,0.745
80.1649,0.749
81.094,0.739
80.4744,0.746
80.6208,0.744
79.6151,0.754
81.4416,0.737
83.3612,0.719
83.2615,0.721
81.6285,0.735
78.7007,0.762
81.0188,0.741
79.1578,0.758
83.1857,0.721
80.7887,0.743
81.2564,0.738
81.0357,0.741
81.5645,0.735
83.9092,0.715
83.5238,0.719
83.5808,0.718
82.7842,0.724
80.9973,0.741
80.1315,0.749
79.3838,0.756
78.959,0.76
76.6105,0.783
76.9426,0.78
77.937,0.769
79.0151,0.76
81.6085,0.735
82.8876,0.724
84.3865,0.711
82.2817,0.729
78.3423,0.766
78.6447,0.763
78.3953,0.765
77.46,0.775
76.9086,0.78
75.9934,0.79
77.1589,0.777
78.3089,0.766
80.9687,0.741
83.0541,0.723
85.3673,0.703
87.4097,0.686
83.8342,0.716
79.7316,0.752
79.1207,0.759
78.9597,0.76
78.744,0.761
79.4669,0.756
79.491,0.754
79.1803,0.758
80.9753,0.741
82.9774,0.723
88.6496,0.677
93.0821,0.645
93.5035,0.641
89.5995,0.67
86.6156,0.693
80.3546,0.746
76.8333,0.781
73.4693,0.817
72.0649,0.832
74.6083,0.805
79.1238,0.758
81.7751,0.734
80.9693,0.741
83.8705,0.715
83.3492,0.72
81.0073,0.741
80.3307,0.747
80.6126,0.744
79.1455,0.758
76.4639,0.785
76.0128,0.789
79.1523,0.758
79.8754,0.751
84.7363,0.708
83.714,0.717
84.2541,0.712
83.2108,0.721
83.4408,0.719
84.2556,0.712
86.2022,0.696
85.6272,0.701
83.6064,0.718
81.1354,0.739
78.4929,0.765
81.6289,0.735
79.9477,0.75
81.271,0.738
80.6716,0.744
80.4164,0.746
79.9038,0.751
80.9344,0.742
81.8891,0.732
80.7568,0.743
79.0095,0.76
79.6908,0.753
79.2821,0.756
80.8912,0.742
80.9814,0.741
79.3325,0.756
76.2492,0.787
74.1281,0.81
73.8041,0.813
76.3009,0.786
78.4034,0.765
79.1308,0.758
84.8303,0.708
89.0925,0.673
92.713,0.647
89.5572,0.67
84.9495,0.707
81.7681,0.733
78.9796,0.76
76.6115,0.783
76.0375,0.789
74.0206,0.811
76.0889,0.788
77.8222,0.771
82.4579,0.728
82.9627,0.723
87.1467,0.689
84.0263,0.714
84.5545,0.709
83.3145,0.721
82.409,0.728
78.9775,0.759
75.942,0.791
76.3783,0.785
78.1627,0.768
81.5115,0.736
85.7021,0.7
83.1678,0.721
84.4215,0.711
83.6793,0.717
84.8395,0.707
84.2441,0.713
82.7878,0.724
76.5159,0.784
75.3831,0.796
75.7113,0.793
75.739,0.792
78.4913,0.764
79.1664,0.758
80.2904,0.748
81.3157,0.737
82.4358,0.728
84.8916,0.707
87.8102,0.683
86.991,0.69
84.2336,0.712
79.1404,0.759
71.0216,0.844
72.2702,0.831
70.9403,0.845
73.1404,0.821
74.0303,0.81
74.4935,0.806
77.2173,0.777
