stethography,rrvalues
0.5094,0.867
-1.0736,0.886
-0.629,0.88
1.0952,0.863
1.277,0.842
-0.1158,0.835
-1.2679,0.814
-0.6334,0.808
1.0585,0.794
1.7622,0.798
0.8096,0.821
-1.1227,0.842
-1.3989,0.852
0.3979,0.835
1.56,0.826
1.1722,0.819
-0.523,0.822
-1.4177,0.818
-0.5824,0.786
1.1554,0.779
1.7212,0.777
0.1931,0.8
-1.4742,0.805
-0.3769,0.795
1.269,0.804
1.5076,0.795
-0.0394,0.806
-1.4074,0.811
0.0716,0.79
1.4526,0.797
0.8764,0.783
-1.1745,0.789
-1.3362,0.787
0.62,0.776
1.5234,0.777
0.2071,0.793
-1.506,0.792
-0.2388,0.782
1.4089,0.776
1.1553,0.778
-0.8037,0.795
-1.6195,0.799
-0.5087,0.779
1.2607,0.785
1.4254,0.775
-0.259,0.796
-1.4024,0.8
-0.2635,0.806
1.3337,0.811
1.1967,0.812
-0.9361,0.803
-1.5021,0.816
0.3122,0.792
1.4474,0.783
0.4643,0.799
-1.2597,0.814
-0.8111,0.795
1.0614,0.792
1.3162,0.789
-0.4463,0.797
-1.4953,0.796
0.0468,0.796
1.4072,0.789
0.9302,0.799
-0.9676,0.799
-1.3709,0.809
0.4126,0.793
1.5057,0.788
0.4623,0.808
-1.1019,0.838
-0.9574,0.836
0.6357,0.813
1.5149,0.779
0.6873,0.798
-0.8749,0.796
-0.688,0.804
0.9472,0.809
0.9973,0.83
-0.6184,0.849
-0.8659,0.818
0.7951,0.799
1.306,0.775
-0.4186,0.783
-1.2504,0.779
0.168,0.788
1.3857,0.793
0.5538,0.793
-1.2239,0.796
-0.8211,0.787
1.077,0.768
1.3255,0.774
-0.5728,0.797
-1.2984,0.811
-0.5975,0.803
1.0183,0.799
1.5073,0.779
0.4107,0.785
-0.8549,0.789
-0.8084,0.816
0.4677,0.794
1.2896,0.794
0.5881,0.802
-0.8291,0.816
-1.1088,0.827
0.0993,0.828
1.1766,0.83
0.1465,0.843
-0.9739,0.854
-0.6337,0.87
-0.0137,0.822
1.5725,0.779
0.0511,0.787
-0.9597,0.807
-0.5717,0.82
1.0206,0.823
1.3666,0.843
0.0037,0.848
-0.9028,0.843
-0.2182,0.824
1.1275,0.813
1.1418,0.799
0.1022,0.813
-0.9085,0.822
-0.0093,0.821
1.2048,0.833
0.4044,0.851
-1.0745,0.848
-0.6834,0.848
0.8608,0.837
0.9488,0.832
-0.4861,0.826
-1.1822,0.826
-0.065,0.816
1.1875,0.799
0.8394,0.807
-0.9041,0.813
-0.2743,0.812
1.193,0.814
1.0381,0.825
-0.4431,0.851
-1.2231,0.836
0.0862,0.802
1.1736,0.792
0.7774,0.785
-0.8781,0.801
-1.2025,0.816
0.4636,0.806
1.3433,0.8
1.0549,0.821
-0.6906,0.848
-1.4084,0.84
0.0538,0.799
1.2121,0.789
0.7574,0.795
-0.6742,0.814
-1.2098,0.827
0.4083,0.817
1.2477,0.799
0.4501,0.817
-0.8644,0.813
-1.3435,0.816
-0.6341,0.792
0.9099,0.793
1.3741,0.769
0.3391,0.791
-0.9514,0.82
-0.9278,0.837
0.6226,0.834
1.3004,0.83
0.504,0.847
-0.5566,0.848
-0.7514,0.811
-0.5727,0.739
-0.501,0.708
-0.8259,0.736
0.474,0.748
1.6698,0.773
1.2874,0.782
-0.2869,0.798
-1.0085,0.798
-0.3073,0.801
1.2605,0.79
1.5649,0.773
0.5512,0.79
-0.8005,0.791
-0.986,0.798
0.4015,0.772
1.3108,0.759
0.9567,0.76
-0.1728,0.761
-0.7832,0.767
0.2904,0.775
1.5567,0.774
1.3939,0.782
0.0679,0.791
-0.8525,0.812
-0.3924,0.783
1.2018,0.776
1.5327,0.75
0.323,0.76
-1.0332,0.759
-0.8568,0.759
0.9054,0.762
1.3916,0.763
0.0902,0.777
-1.15,0.791
-0.9962,0.793
0.5991,0.791
1.3288,0.772
0.404,0.79
-0.8257,0.803
-1.0071,0.826
0.3605,0.81
1.3778,0.806
0.5357,0.818
-0.8277,0.82
-0.9763,0.814
0.6077,0.789
1.41,0.764
0.9955,0.765
-0.3723,0.759
-1.1531,0.719
-0.7456,0.693
-0.8047,0.688
-0.8209,0.725
0.9206,0.745
1.6859,0.78
0.6182,0.788
-1.0107,0.803
-0.887,0.808
0.7975,0.774
1.3997,0.771
0.3611,0.769
-1.1746,0.764
-1.2909,0.786
0.5048,0.772
1.3823,0.793
0.6631,0.807
-1.0431,0.819
-0.84,0.798
0.7407,0.768
