heartrate,rrvalues
85.426,0.703
86.1304,0.696
86.703,0.692
86.92,0.691
86.7016,0.692
88.6861,0.676
88.2867,0.68
91.9054,0.653
88.9943,0.674
92.6989,0.647
89.8203,0.668
88.3212,0.68
90.723,0.661
88.6333,0.677
89.5874,0.67
92.6381,0.647
90.7453,0.661
90.1449,0.666
93.4009,0.642
93.6981,0.641
93.693,0.64
91.5501,0.656
90.1847,0.665
86.0145,0.697
85.4755,0.702
83.9664,0.715
87.1438,0.688
86.1298,0.697
84.8174,0.707
88.8473,0.676
87.3668,0.687
88.3185,0.679
89.8346,0.668
90.7882,0.661
91.3901,0.656
91.2642,0.658
90.962,0.659
89.7774,0.669
90.7884,0.66
90.0279,0.667
89.7073,0.669
92.3496,0.649
88.2565,0.68
94.7385,0.634
98.6077,0.608
96.4276,0.622
98.4107,0.61
92.3774,0.65
91.8619,0.653
89.9397,0.667
91.1565,0.658
90.6102,0.662
92.0734,0.652
94.3303,0.636
92.66,0.647
93.1383,0.645
91.7952,0.653
92.9877,0.645
91.8539,0.654
89.3189,0.671
87.3837,0.687
91.5025,0.656
91.5702,0.655
92.1693,0.651
94.8215,0.633
94.7731,0.633
92.7079,0.647
90.3822,0.664
86.3206,0.695
85.8834,0.699
85.4835,0.701
84.3636,0.712
85.2403,0.704
85.6501,0.7
86.5272,0.694
90.4623,0.663
89.9611,0.667
90.2386,0.665
91.8872,0.653
91.3356,0.657
90.3808,0.663
90.4248,0.664
89.317,0.672
85.5664,0.701
82.0499,0.731
83.105,0.722
82.2829,0.729
85.6711,0.701
85.2913,0.703
86.3604,0.695
85.7006,0.7
85.5371,0.701
86.0713,0.698
85.2667,0.703
85.1874,0.705
87.8173,0.683
84.1494,0.713
83.389,0.719
80.6693,0.744
81.6028,0.735
81.8118,0.734
82.5752,0.726
86.1421,0.697
84.4091,0.711
83.957,0.714
80.4415,0.746
81.2227,0.739
83.1604,0.722
79.51,0.754
81.887,0.733
79.6073,0.754
79.8692,0.751
80.2026,0.748
79.9405,0.75
83.0731,0.723
