SpO2,rrvalues
91.2819,0.743
90.7091,0.732
90.2784,0.744
90.2768,0.752
90.2779,0.743
90.2783,0.727
90.2788,0.747
90.2769,0.728
90.278,0.739
90.746,0.752
91.2815,0.72
91.2802,0.733
91.2824,0.733
91.6572,0.739
92.2864,0.745
92.285,0.754
92.2863,0.77
92.7125,0.79
93.2904,0.776
93.2892,0.771
93.2909,0.78
93.2907,0.782
93.2903,0.773
93.2907,0.771
93.29,0.761
93.2907,0.751
93.2906,0.764
93.2905,0.767
93.2893,0.775
93.2907,0.776
93.2912,0.78
93.291,0.796
93.2907,0.819
93.2893,0.849
93.2909,0.848
93.2911,0.827
93.2905,0.851
93.2911,0.836
93.2909,0.821
93.2895,0.81
93.291,0.814
93.2908,0.835
94.694,0.852
96.9985,0.858
96.9991,0.857
96.9984,0.845
96.9989,0.814
94.8094,0.74
93.2916,0.682
93.29,0.644
93.2914,0.729
93.2915,0.809
93.2919,0.83
93.291,0.86
93.2895,0.913
93.2904,0.901
92.5115,0.867
92.2874,0.813
92.2875,0.78
92.2871,0.792
92.2856,0.773
92.2866,0.771
91.8011,0.77
91.2825,0.736
91.2807,0.736
91.2825,0.745
91.7392,0.752
92.1492,0.762
91.28,0.785
92.1436,0.778
92.2869,0.774
92.2869,0.744
92.2856,0.747
92.2865,0.751
92.2862,0.749
92.2868,0.747
92.2858,0.735
92.2872,0.731
92.2869,0.729
92.2866,0.729
92.2859,0.723
92.2867,0.734
92.2866,0.704
92.2869,0.716
92.2856,0.701
92.287,0.692
92.1727,0.705
91.2802,0.704
91.2818,0.712
91.2821,0.707
91.2805,0.697
91.2822,0.685
91.2821,0.703
91.2817,0.714
91.2803,0.701
91.282,0.7
91.4199,0.691
92.2855,0.678
91.6177,0.68
91.2815,0.682
91.2805,0.696
91.2819,0.717
91.2815,0.72
91.2819,0.707
91.2806,0.729
91.2814,0.724
91.2816,0.723
91.2803,0.725
91.2821,0.706
91.2822,0.717
91.2817,0.704
91.2804,0.73
91.2816,0.727
91.2815,0.731
91.2804,0.732
91.2821,0.717
91.2822,0.729
91.3983,0.712
92.2848,0.725
92.2867,0.722
92.6317,0.716
93.2893,0.703
93.2904,0.748
93.2906,0.768
93.2906,0.75
93.2888,0.702
93.2905,0.664
93.2909,0.652
93.2894,0.665
93.2908,0.674
93.2912,0.679
93.2901,0.69
93.2912,0.703
93.2903,0.73
93.2912,0.753
93.2895,0.704
93.2912,0.703
93.2911,0.695
93.2894,0.696
93.2912,0.701
93.2904,0.721
93.2905,0.727
93.2896,0.738
93.2912,0.749
93.2906,0.769
93.2902,0.766
93.2898,0.754
93.291,0.753
93.2907,0.739
93.2906,0.719
