respiratoryrate,rrvalues
13.2251,0.774
13.2251,0.756
13.2251,0.736
13.2251,0.746
12.9173,0.74
12.9052,0.772
12.9052,0.778
12.9052,0.798
12.9052,0.794
12.9052,0.78
12.0098,0.766
11.9907,0.777
11.9907,0.78
11.9907,0.78
11.9907,0.776
11.9907,0.767
13.2281,0.76
14.4206,0.767
14.4206,0.773
14.4206,0.776
14.4206,0.77
14.3535,0.765
13.754,0.769
13.754,0.785
13.754,0.79
13.754,0.791
13.754,0.787
13.8477,0.759
13.9341,0.752
13.9341,0.775
13.9341,0.798
13.9341,0.781
13.9341,0.789
9.206,0.771
9.1058,0.781
9.1058,0.801
9.1058,0.759
9.1058,0.709
9.1058,0.678
9.1058,0.68
9.1058,0.693
9.1058,0.701
13.7905,0.727
14.0062,0.796
14.0062,0.812
14.0062,0.798
14.0062,0.796
13.3014,0.739
12.5266,0.744
12.5266,0.752
12.5266,0.725
12.5266,0.757
12.5266,0.738
12.5314,0.723
14.2684,0.724
14.2684,0.761
14.2684,0.767
14.2684,0.788
14.2684,0.804
14.4142,0.776
14.5397,0.795
14.5397,0.798
14.5397,0.794
14.5397,0.771
14.3872,0.743
13.9466,0.737
13.9466,0.739
13.9466,0.739
13.9466,0.75
13.9466,0.773
14.3184,0.752
14.6844,0.76
14.6844,0.777
14.6844,0.786
14.6844,0.79
14.6945,0.792
14.7248,0.786
14.7248,0.776
14.7248,0.778
14.7248,0.755
14.7248,0.755
13.0787,0.746
13.0169,0.759
13.0169,0.776
13.0169,0.786
13.0169,0.765
13.0169,0.776
12.9548,0.759
12.9524,0.788
12.9524,0.781
12.9524,0.781
12.9524,0.76
12.9524,0.761
15.3971,0.746
15.5031,0.764
15.5031,0.767
15.5031,0.788
15.5031,0.805
12.989,0.803
12.8881,0.813
12.8881,0.801
12.8881,0.785
12.8881,0.746
12.8881,0.731
13.1241,0.719
13.1264,0.738
13.1264,0.769
13.1264,0.808
13.1264,0.813
13.0326,0.815
12.2164,0.818
12.2164,0.847
12.2164,0.813
12.2164,0.812
12.2164,0.766
12.2164,0.745
12.7458,0.736
12.766,0.751
12.766,0.791
12.766,0.816
12.766,0.797
12.766,0.804
14.8171,0.799
14.9027,0.824
14.9027,0.809
14.9027,0.815
14.9027,0.788
14.6504,0.781
14.6427,0.763
14.6427,0.757
14.6427,0.701
14.6427,0.728
13.2967,0.754
11.8546,0.821
11.8546,0.876
11.8546,0.875
11.8546,0.88
11.8546,0.87
13.5119,0.842
14.8491,0.833
14.8491,0.814
14.8491,0.794
14.8491,0.761
11.7777,0.748
8.739,0.757
8.739,0.765
8.739,0.773
8.739,0.753
8.739,0.705
8.739,0.723
8.739,0.722
8.739,0.729
9.4489,0.722
11.9625,0.725
11.9625,0.745
11.9625,0.757
11.9625,0.769
11.9625,0.759
11.9625,0.734
12.9942,0.732
14.0372,0.751
14.0372,0.776
14.0372,0.78
14.0372,0.789
14.0372,0.786
14.8243,0.788
14.8533,0.81
14.8533,0.819
14.8533,0.824
14.8533,0.799
13.7329,0.801
13.6923,0.82
13.6923,0.821
13.6923,0.793
13.6923,0.797
12.9748,0.798
12.3291,0.807
12.3291,0.806
12.3291,0.815
12.3291,0.811
12.3291,0.823
12.7512,0.819
13.1237,0.841
13.1237,0.838
13.1237,0.839
13.1237,0.801
13.1237,0.791
12.6314,0.782
12.6138,0.778
12.6138,0.783
12.6138,0.8
12.6138,0.793
12.6138,0.817
11.6356,0.812
11.5968,0.826
11.5968,0.822
11.5968,0.816
11.5968,0.787
11.5968,0.774
13.354,0.741
15.0877,0.749
15.0877,0.75
15.0877,0.76
15.0877,0.774
14.8643,0.781
14.2608,0.798
14.2608,0.805
14.2608,0.805
14.2608,0.783
14.2608,0.777
12.5652,0.772
12.499,0.759
12.499,0.757
12.499,0.74
12.499,0.712
12.499,0.709
12.7027,0.705
12.9407,0.728
12.9407,0.787
12.9407,0.8
12.9407,0.819
12.9407,0.814
13.902,0.79
14.7234,0.791
14.7234,0.786
14.7234,0.766
14.7234,0.74
14.8674,0.705
15.4539,0.702
15.4539,0.717
15.4539,0.739
15.4539,0.779
15.4539,0.804
13.6234,0.811
13.6189,0.821
13.6189,0.828
13.6189,0.794
13.6189,0.775
14.1764,0.735
14.7698,0.736
14.7698,0.714
14.7698,0.725
14.7698,0.738
14.7698,0.764
14.8865,0.776
14.891,0.818
14.891,0.827
14.891,0.823
14.891,0.782
14.4154,0.775
14.3943,0.761
14.3943,0.754
14.3943,0.763
14.3943,0.769
13.9671,0.757
13.5389,0.776
13.5389,0.817
