"ECG","Rrvalues"
"-1.3757","0.86"
"-1.3759","0.859"
"-1.3788","0.855"
"-1.3595","0.862"
"-1.356","0.879"
"-1.3645","0.89"
"-1.3595","0.882"
"-1.3669","0.861"
"-1.3587","0.85"
"-1.3715","0.835"
"-1.3682","0.799"
"-1.3687","0.774"
"-1.3672","0.803"
"-1.3581","0.838"
"-1.3657","0.909"
"-1.3836","0.915"
"-1.3735","0.908"
"-1.381","0.878"
"-1.3454","0.861"
"-1.3482","0.87"
"-1.3648","0.869"
"-1.3804","0.873"
"-1.3772","0.836"
"-1.3583","0.831"
"-1.3535","0.829"
"-1.3634","0.836"
"-1.3818","0.826"
"-1.3505","0.775"
"-1.3588","0.771"
"-1.3712","0.789"
"-1.3575","0.794"
"-1.346","0.819"
"-1.3491","0.827"
"-1.3531","0.867"
"-1.3721","0.886"
"-1.3718","0.88"
"-1.3628","0.863"
"-1.3466","0.842"
"-1.3465","0.835"
"-1.3674","0.814"
"-1.3712","0.808"
"-1.3628","0.794"
"-1.3559","0.798"
"-1.3497","0.821"
"-1.3803","0.842"
"-1.383","0.852"
"-1.3698","0.835"
"-1.3436","0.826"
"-1.3474","0.819"
"-1.3677","0.822"
"-1.3785","0.818"
"-1.3747","0.786"
"-1.363","0.779"
"-1.352","0.777"
"-1.3573","0.8"
"-1.3712","0.805"
"-1.3629","0.795"
"-1.3587","0.804"
"-1.3608","0.795"
"-1.3803","0.806"
"-1.3857","0.811"
"-1.3601","0.79"
"-1.3563","0.797"
"-1.3605","0.783"
"-1.383","0.789"
"-1.399","0.787"
"-1.3845","0.776"
"-1.3633","0.777"
"-1.3481","0.793"
"-1.3743","0.792"
"-1.3747","0.782"
"-1.3642","0.776"
"-1.3709","0.778"
"-1.3842","0.795"
"-1.3763","0.799"
"-1.3612","0.779"
"-1.358","0.785"
"-1.3371","0.775"
"-1.3604","0.796"
"-1.3789","0.8"
"-1.3691","0.806"
"-1.3568","0.811"
"-1.3399","0.812"
"-1.3777","0.803"
"-1.3856","0.816"
"-1.3762","0.792"
"-1.3538","0.783"
"-1.3539","0.799"
"-1.371","0.814"
"-1.369","0.795"
"-1.361","0.792"
"-1.3644","0.789"
"-1.3756","0.797"
"-1.3767","0.796"
"-1.371","0.796"
"-1.3522","0.789"
"-1.3465","0.799"
"-1.3745","0.799"
"-1.3885","0.809"
"-1.3726","0.793"
"-1.3619","0.788"
"-1.3582","0.808"
"-1.3547","0.838"
"-1.3473","0.836"
"-1.3504","0.813"
"-1.3569","0.779"
"-1.3627","0.798"
"-1.3707","0.796"
"-1.3726","0.804"
"-1.3659","0.809"
"-1.3611","0.83"
"-1.3748","0.849"
"-1.3795","0.818"
"-1.3684","0.799"
"-1.3535","0.775"
"-1.3563","0.783"
"-1.3798","0.779"
"-1.3767","0.788"
"-1.3493","0.793"
"-1.3464","0.793"
"-1.3593","0.796"
"-1.3612","0.787"
"-1.3668","0.768"
"-1.3569","0.774"
"-1.3644","0.797"
"-1.3642","0.811"
"-1.355","0.803"
"-1.3555","0.799"
"-1.3505","0.779"
"-1.3651","0.785"
"-1.3796","0.789"
"-1.378","0.816"
"-1.3565","0.794"
"-1.3497","0.794"
"-1.3592","0.802"
"-1.3674","0.816"
"-1.3683","0.827"
"-1.3683","0.828"
"-1.3528","0.83"
"-1.3411","0.843"
"-1.3564","0.854"
"-1.3632","0.87"
"-1.3674","0.822"
"-1.3493","0.779"
"-1.3671","0.787"
"-1.3762","0.807"
"-1.3568","0.82"
"-1.3499","0.823"
"-1.3517","0.843"
"-1.3654","0.848"
"-1.3746","0.843"
"-1.3572","0.824"
"-1.35","0.813"
"-1.3594","0.799"
"-1.3706","0.813"
"-1.3748","0.822"
"-1.3781","0.821"
"-1.3541","0.833"
"-1.3499","0.851"
"-1.3623","0.848"
"-1.3705","0.848"
"-1.3652","0.837"
"-1.3523","0.832"
"-1.3556","0.826"
"-1.3675","0.826"
"-1.3621","0.816"
"-1.3618","0.799"
"-1.3574","0.807"
"-1.3827","0.813"
"-1.3746","0.812"
"-1.346","0.814"
"-1.3502","0.825"
"-1.3674","0.851"
"-1.3659","0.836"
"-1.3651","0.802"
"-1.3576","0.792"
"-1.354","0.785"
"-1.3601","0.801"
"-1.3578","0.816"
"-1.3714","0.806"
"-1.3776","0.8"
"-1.3593","0.821"
"-1.3592","0.848"
"-1.3622","0.84"
"-1.3624","0.799"
"-1.3651","0.789"
"-1.3573","0.795"
"-1.377","0.814"
"-1.3699","0.827"
"-1.3586","0.817"
"-1.3602","0.799"
"-1.3708","0.817"
"-1.391","0.813"
"-1.3707","0.816"
"-1.3702","0.792"
"-1.3598","0.793"
"-1.3573","0.769"
"-1.3585","0.791"
"-1.3793","0.82"
"-1.3668","0.837"
"-1.3485","0.834"
"-1.3508","0.83"
"-1.3572","0.847"
"-1.3733","0.848"
"-1.3728","0.811"
"-1.3747","0.739"
"-1.3754","0.708"
"-1.3575","0.736"
"-1.3658","0.748"
"-1.3585","0.773"
"-1.3554","0.782"
"-1.3739","0.798"
"-1.3747","0.798"
"-1.3695","0.801"
"-1.3542","0.79"
"-1.3553","0.773"
"-1.3615","0.79"
"-1.3695","0.791"
"-1.3656","0.798"
"-1.3547","0.772"
"-1.351","0.759"
"-1.347","0.76"
"-1.3709","0.761"
"-1.3811","0.767"
"-1.375","0.775"
"-1.3574","0.774"
"-1.3444","0.782"
"-1.3502","0.791"
"-1.3666","0.812"
"-1.377","0.783"
"-1.3696","0.776"
"-1.3491","0.75"
"-1.3542","0.76"
"-1.3693","0.759"
"-1.3704","0.759"
"-1.3707","0.762"
"-1.3659","0.763"
"-1.3628","0.777"
"-1.3718","0.791"
"-1.3699","0.793"
"-1.3612","0.791"
"-1.3555","0.772"
"-1.3594","0.79"
"-1.3644","0.803"
"-1.363","0.826"
"-1.3628","0.81"
"-1.3351","0.806"
"-1.3411","0.818"
"-1.3676","0.82"
"-1.3704","0.814"
"-1.3632","0.789"
"-1.3489","0.764"
"-1.34","0.765"
"-1.3574","0.759"
"-1.3788","0.719"
