"ecg","Rrvalues"
"-1.348","0.809"
"-1.3435","0.792"
"-1.3527","0.789"
"-1.358","0.778"
"-1.3613","0.763"
"-1.3522","0.751"
"-1.355","0.766"
"-1.3652","0.777"
"-1.3705","0.802"
"-1.373","0.791"
"-1.3624","0.832"
"-1.3636","0.842"
"-1.3618","0.844"
"-1.3545","0.823"
"-1.3425","0.799"
"-1.3609","0.791"
"-1.3708","0.772"
"-1.3675","0.758"
"-1.3741","0.754"
"-1.3713","0.762"
"-1.3641","0.788"
"-1.3678","0.829"
"-1.3844","0.865"
"-1.3393","0.878"
"-1.3515","0.864"
"-1.3544","0.82"
"-1.3602","0.822"
"-1.3647","0.807"
"-1.3629","0.816"
"-1.3592","0.78"
"-1.3674","0.801"
"-1.3496","0.785"
"-1.3604","0.8"
"-1.3653","0.82"
"-1.3725","0.812"
"-1.3712","0.837"
"-1.3588","0.838"
"-1.3686","0.856"
"-1.3648","0.872"
"-1.3594","0.862"
"-1.3597","0.829"
"-1.3479","0.842"
"-1.3626","0.811"
"-1.3622","0.813"
"-1.364","0.769"
"-1.358","0.778"
"-1.3513","0.78"
"-1.3587","0.806"
"-1.3648","0.85"
"-1.3759","0.88"
"-1.3679","0.87"
"-1.3438","0.852"
"-1.3371","0.833"
"-1.3582","0.825"
"-1.3766","0.836"
"-1.3753","0.817"
"-1.3598","0.809"
"-1.356","0.792"
"-1.3533","0.766"
"-1.3596","0.781"
"-1.3628","0.763"
"-1.376","0.782"
"-1.3671","0.792"
"-1.3591","0.801"
"-1.3455","0.785"
"-1.3473","0.777"
"-1.356","0.803"
"-1.3741","0.801"
"-1.3779","0.799"
"-1.3747","0.79"
"-1.3597","0.773"
"-1.3541","0.764"
"-1.3628","0.778"
"-1.3649","0.781"
"-1.3751","0.793"
"-1.3672","0.795"
"-1.3546","0.802"
"-1.3498","0.739"
"-1.3563","0.722"
"-1.3459","0.732"
"-1.3618","0.739"
"-1.3669","0.765"
"-1.3447","0.808"
"-1.3615","0.843"
"-1.3667","0.857"
"-1.3673","0.84"
"-1.3515","0.804"
"-1.3472","0.775"
"-1.3677","0.776"
"-1.3827","0.757"
"-1.3744","0.746"
"-1.3705","0.715"
"-1.37","0.723"
"-1.3602","0.725"
"-1.3659","0.754"
"-1.3667","0.812"
"-1.3629","0.856"
"-1.3637","0.868"
"-1.3541","0.852"
"-1.361","0.852"
"-1.3604","0.827"
"-1.3535","0.819"
"-1.3569","0.779"
"-1.3772","0.781"
"-1.3655","0.813"
"-1.3708","0.823"
"-1.3582","0.836"
"-1.361","0.839"
"-1.3626","0.841"
"-1.3683","0.854"
"-1.3736","0.837"
"-1.3672","0.822"
"-1.3513","0.811"
"-1.3585","0.782"
"-1.3704","0.791"
"-1.3721","0.818"
"-1.3703","0.825"
"-1.3678","0.864"
"-1.3711","0.875"
"-1.3606","0.843"
"-1.3581","0.858"
"-1.3606","0.849"
"-1.3724","0.847"
"-1.3666","0.834"
"-1.3589","0.812"
"-1.3588","0.821"
"-1.3596","0.832"
"-1.3578","0.849"
"-1.3572","0.847"
"-1.3602","0.844"
"-1.3567","0.838"
"-1.3611","0.845"
"-1.3644","0.818"
"-1.3791","0.802"
"-1.38","0.749"
"-1.3729","0.751"
"-1.361","0.76"
"-1.3585","0.77"
"-1.356","0.76"
"-1.3607","0.814"
"-1.379","0.789"
"-1.3777","0.8"
"-1.3664","0.78"
"-1.3678","0.762"
"-1.3602","0.763"
"-1.3682","0.768"
"-1.3662","0.785"
"-1.3764","0.8"
